Source;Target;Type;Weight
1;34;directed;1
1;34;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;35;directed;1
2;35;directed;1
2;35;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;36;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
3;37;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
4;38;directed;1
4;38;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
5;34;directed;1
5;35;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
4;34;directed;1
2;34;directed;1
2;34;directed;1
6;34;directed;1
4;34;directed;1
6;38;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
;34;directed;1
1;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;38;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
5;38;directed;1
;37;directed;1
;38;directed;1
;38;directed;1
6;34;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
2;38;directed;1
2;38;directed;1
7;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
;38;directed;1
1;38;directed;1
1;36;directed;1
6;38;directed;1
6;37;directed;1
6;38;directed;1
6;37;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
4;38;directed;1
7;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
;38;directed;1
1;34;directed;1
1;34;directed;1
4;39;directed;1
4;38;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
7;34;directed;1
6;38;directed;1
7;34;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
8;34;directed;1
9;34;directed;1
1;34;directed;1
1;34;directed;1
1;36;directed;1
1;36;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;40;directed;1
1;37;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;38;directed;1
5;38;directed;1
1;34;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
1;35;directed;1
4;34;directed;1
4;34;directed;1
5;38;directed;1
5;38;directed;1
5;38;directed;1
5;38;directed;1
5;38;directed;1
5;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;39;directed;1
;38;directed;1
1;34;directed;1
1;34;directed;1
5;38;directed;1
5;38;directed;1
5;38;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
5;34;directed;1
5;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
1;35;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
4;39;directed;1
4;39;directed;1
4;39;directed;1
4;39;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
4;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
;37;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;36;directed;1
1;35;directed;1
1;34;directed;1
4;38;directed;1
5;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;38;directed;1
1;34;directed;1
1;34;directed;1
1;39;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;37;directed;1
1;37;directed;1
5;34;directed;1
4;34;directed;1
4;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
4;38;directed;1
4;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
5;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;34;directed;1
4;38;directed;1
4;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
4;39;directed;1
4;39;directed;1
2;34;directed;1
1;34;directed;1
1;38;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
1;34;directed;1
1;38;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;36;directed;1
1;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
6;38;directed;1
6;38;directed;1
1;34;directed;1
;41;directed;1
1;34;directed;1
4;34;directed;1
4;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
7;34;directed;1
4;38;directed;1
5;35;directed;1
;38;directed;1
;38;directed;1
4;34;directed;1
3;34;directed;1
10;38;directed;1
;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
;34;directed;1
5;34;directed;1
2;38;directed;1
1;38;directed;1
1;38;directed;1
1;34;directed;1
4;34;directed;1
4;34;directed;1
1;34;directed;1
1;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;35;directed;1
;34;directed;1
;38;directed;1
;38;directed;1
1;34;directed;1
1;34;directed;1
6;38;directed;1
6;38;directed;1
1;40;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
9;34;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
6;38;directed;1
6;38;directed;1
6;;directed;1
3;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;34;directed;1
4;39;directed;1
4;39;directed;1
1;34;directed;1
1;36;directed;1
1;36;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;38;directed;1
6;34;directed;1
;37;directed;1
1;38;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
1;34;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;37;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
6;38;directed;1
6;38;directed;1
5;34;directed;1
5;38;directed;1
6;35;directed;1
6;37;directed;1
4;34;directed;1
4;34;directed;1
6;34;directed;1
6;34;directed;1
6;34;directed;1
11;34;directed;1
;37;directed;1
;34;directed;1
;37;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
7;34;directed;1
;38;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
;37;directed;1
;37;directed;1
;37;directed;1
;38;directed;1
7;34;directed;1
1;34;directed;1
6;34;directed;1
;37;directed;1
6;38;directed;1
12;38;directed;1
;37;directed;1
4;34;directed;1
;38;directed;1
1;34;directed;1
1;34;directed;1
6;34;directed;1
6;38;directed;1
;38;directed;1
;37;directed;1
;34;directed;1
7;34;directed;1
1;34;directed;1
1;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
5;39;directed;1
5;34;directed;1
7;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
;38;directed;1
;38;directed;1
;38;directed;1
;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
9;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;34;directed;1
5;35;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
;37;directed;1
;38;directed;1
;38;directed;1
6;38;directed;1
6;38;directed;1
;34;directed;1
5;34;directed;1
5;34;directed;1
6;34;directed;1
6;34;directed;1
6;38;directed;1
;34;directed;1
;37;directed;1
;34;directed;1
;38;directed;1
6;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
;34;directed;1
;38;directed;1
;38;directed;1
10;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
;34;directed;1
2;34;directed;1
2;38;directed;1
2;38;directed;1
1;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;38;directed;1
5;34;directed;1
4;35;directed;1
4;35;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;38;directed;1
1;38;directed;1
10;34;directed;1
1;34;directed;1
4;34;directed;1
4;34;directed;1
10;34;directed;1
4;34;directed;1
10;38;directed;1
1;34;directed;1
;38;directed;1
;38;directed;1
1;36;directed;1
1;36;directed;1
1;34;directed;1
1;39;directed;1
1;39;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
2;37;directed;1
2;37;directed;1
9;38;directed;1
1;34;directed;1
6;34;directed;1
6;34;directed;1
6;38;directed;1
6;38;directed;1
6;38;directed;1
3;34;directed;1
3;34;directed;1
4;38;directed;1
2;34;directed;1
3;34;directed;1
3;38;directed;1
;42;directed;1
1;34;directed;1
1;35;directed;1
1;35;directed;1
1;34;directed;1
1;34;directed;1
4;34;directed;1
4;38;directed;1
7;35;directed;1
;34;directed;1
;38;directed;1
1;38;directed;1
12;34;directed;1
11;34;directed;1
5;38;directed;1
;38;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
2;34;directed;1
6;34;directed;1
2;34;directed;1
2;35;directed;1
2;34;directed;1
6;34;directed;1
1;34;directed;1
;34;directed;1
;38;directed;1
1;37;directed;1
6;38;directed;1
6;38;directed;1
6;38;directed;1
6;38;directed;1
6;34;directed;1
8;34;directed;1
8;34;directed;1
8;34;directed;1
8;34;directed;1
8;34;directed;1
8;34;directed;1
8;34;directed;1
1;36;directed;1
;38;directed;1
;34;directed;1
4;34;directed;1
4;36;directed;1
2;40;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;34;directed;1
1;35;directed;1
1;34;directed;1
4;38;directed;1
2;34;directed;1
2;34;directed;1
2;34;directed;1
6;40;directed;1
1;34;directed;1
4;34;directed;1
4;34;directed;1
2;34;directed;1
2;38;directed;1
;38;directed;1
5;34;directed;1
4;34;directed;1
6;38;directed;1
6;38;directed;1
6;38;directed;1
6;38;directed;1
;38;directed;1
;34;directed;1
1;34;directed;1
;37;directed;1
;37;directed;1
;38;directed;1
;34;directed;1
