title,lat,lon,region,num,cat
Alberschwende,47.45,9.81667,AT: Vorarlberg,94,1
Albula/Alvra,46.68068,9.60604,CH: Graubünden,34,1
Altach,47.35707,9.64752,AT: Vorarlberg,5,1
Andelsbuch,47.4037,9.90295,AT: Vorarlberg,178,1
Appenzell,47.33663,9.41263,CH: Appenzell-Innerrhoden,77,1
Arzl im Pitztal,47.1893,10.76402,AT: Tirol,47,1
Au,47.30886,9.96673,AT: Vorarlberg,15,1
Bach,47.26961,10.40348,AT: Tirol,1,1
Bartholomäberg,47.10662,9.91726,AT: Vorarlberg,30,1
Berwang,47.40786,10.74735,AT: Tirol,1,1
Bezau,47.36271,10.03447,AT: Vorarlberg,379,1
Bildstein,47.4605,9.79324,AT: Vorarlberg,4,1
Birmenstorf,47.45477,8.25648,CH: Aargau,1,1
Bizau,47.36603,9.96708,AT: Vorarlberg,88,1
Bludenz,47.15457,9.86819,AT: Vorarlberg,40,1
Bludesch,47.19415,9.73596,AT: Vorarlberg,10,1
Bonaduz,46.80208,9.35632,CH: Graubünden,32,1
Borgo Chiese,45.90089,10.57122,IT: Trentino-Alto Adige,1,1
Brand,47.10987,9.74334,AT: Vorarlberg,8,1
Bregenz,47.50661,9.73792,AT: Vorarlberg,52,1
Breil/Brigels,46.78515,9.03336,CH: Graubünden,39,1
Brunico/Bruneck,46.79583,11.93638,IT: Trentino-Alto Adige,1,1
Buch,47.48306,9.81667,AT: Vorarlberg,1,1
Burghausen,48.158,12.81373,DE: Bayern,1,1
Bürs,47.1242,9.79679,AT: Vorarlberg,1,1
Bürserberg,47.14972,9.76667,AT: Vorarlberg,4,1
Calanca,46.31764,9.11318,CH: Graubünden,1,1
Caldaro sulla strada del vino/Kaltern an der Weinstraße,46.41321,11.24118,IT: Trentino-Alto Adige,1,1
Castello-Molina di Fiemme,46.28241,11.43348,IT: Trentino-Alto Adige,1,1
Cavalese,46.29151,11.45938,IT: Trentino-Alto Adige,2,1
Cazis,46.73716,9.42665,CH: Graubünden,17,1
Cermes/Tscherms,46.63462,11.14657,IT: Trentino-Alto Adige,1,1
Chur,46.85212,9.52965,CH: Graubünden,12,1
Churwalden,46.78924,9.53889,CH: Graubünden,7,1
Curon Venosta/Graun im Vinschgau,46.80832,10.54265,IT: Trentino-Alto Adige,120,1
Dalaas,47.15669,10.03634,AT: Vorarlberg,159,1
Damüls,47.28333,9.88333,AT: Vorarlberg,2,1
Disentis/Mustér,46.73425,8.84761,CH: Graubünden,9,1
Domat/Ems,46.81981,9.45455,CH: Graubünden,34,1
Domleschg,46.76908,9.46468,CH: Graubünden,22,1
Doren,47.49431,9.87735,AT: Vorarlberg,6,1
Dornbirn,47.37512,9.77234,AT: Vorarlberg,143,1
Düns,47.2252,9.71275,AT: Vorarlberg,9,1
Ebensee,47.80693,13.77849,AT: Oberösterreich,2,1
Egg,47.40791,9.9885,AT: Vorarlberg,33,1
Eisenerz,47.54607,14.88837,AT: Steiermark,4,1
Faggen,47.09558,10.67465,AT: Tirol,5,1
Falera,46.82735,9.2085,CH: Graubünden,1,1
Feldkirch,47.23705,9.59707,AT: Vorarlberg,84,1
Felsberg,46.85654,9.4623,CH: Graubünden,5,1
Fiss,47.07549,10.58841,AT: Tirol,16,1
Fließ,47.1227,10.63877,AT: Tirol,168,1
Flirsch,47.14109,10.41488,AT: Tirol,4,1
Fontanella,47.25,9.9,AT: Vorarlberg,1,1
Frastanz,47.21667,9.63306,AT: Vorarlberg,98,1
Fußach,47.48882,9.65103,AT: Vorarlberg,3,1
Gais/Gais,46.83693,11.94978,IT: Trentino-Alto Adige,1,1
Galtür,46.92228,10.17996,AT: Tirol,43,1
Gaschurn,46.9459,10.07076,AT: Vorarlberg,1,1
Glorenza/Glurns,46.67021,10.55485,IT: Trentino-Alto Adige,5,1
Göfis,47.23982,9.63332,AT: Vorarlberg,68,1
Gonten,47.31919,9.34854,CH: Appenzell-Innerrhoden,4,1
Götzis,47.33693,9.66319,AT: Vorarlberg,7,1
Grins,47.15375,10.50472,AT: Tirol,39,1
Grüsch,46.96614,9.64391,CH: Graubünden,1,1
Haiming,47.24319,10.88699,AT: Tirol,16,1
Hard,47.4941,9.68061,AT: Vorarlberg,103,1
Herisau,47.38288,9.27409,CH: Appenzell-Ausserrhoden,1,1
Hittisau,47.46169,10.01072,AT: Vorarlberg,273,1
Höchst,47.48212,9.62244,AT: Vorarlberg,3,1
Hohenems,47.36714,9.70692,AT: Vorarlberg,50,1
Hohenweiler,47.58145,9.78436,AT: Vorarlberg,1,1
Ilanz/Glion,46.7783,9.19496,CH: Graubünden,33,1
Imst,47.26842,10.66977,AT: Tirol,44,1
Imsterberg,47.19539,10.70029,AT: Tirol,8,1
Innerbraz,47.14409,9.94122,AT: Vorarlberg,20,1
Innsbruck,47.28873,11.38158,AT: Tirol,5,1
Ischgl,46.99149,10.2787,AT: Tirol,37,1
Jenaz,46.90652,9.70195,CH: Graubünden,2,1
Jenbach,47.39295,11.7746,AT: Tirol,1,1
Jerzens,47.13578,10.7689,AT: Tirol,4,1
Kappl,47.06422,10.37487,AT: Tirol,10,1
Karres,47.22596,10.79232,AT: Tirol,12,1
Karrösten,47.23763,10.77515,AT: Tirol,72,1
Kaunerberg,47.08333,10.73333,AT: Tirol,3,1
Kaunertal,47.03333,10.75,AT: Tirol,3,1
Kauns,47.06697,10.71681,AT: Tirol,31,1
Kennelbach,47.48287,9.76895,AT: Vorarlberg,3,1
Klösterle,47.12235,10.1282,AT: Vorarlberg,28,1
Koblach,47.32451,9.61226,AT: Vorarlberg,2,1
Krumbach,47.48551,9.9184,AT: Vorarlberg,99,1
Küblis,46.92629,9.79791,CH: Graubünden,2,1
Laax,46.84595,9.22791,CH: Graubünden,7,1
Laces/Latsch,46.61691,10.85636,IT: Trentino-Alto Adige,59,1
Ladis,47.08415,10.64164,AT: Tirol,11,1
Lana/Lana,46.61242,11.15587,IT: Trentino-Alto Adige,6,1
Landeck,47.13009,10.56358,AT: Tirol,28,1
Langen bei Bregenz,47.51653,9.83551,AT: Vorarlberg,6,1
Langenegg,47.46667,9.9,AT: Vorarlberg,39,1
Lasa/Laas,46.61661,10.70016,IT: Trentino-Alto Adige,6,1
Laterns,47.26617,9.70279,AT: Vorarlberg,9,1
Lauterach,47.46761,9.71466,AT: Vorarlberg,39,1
Lech,47.203,10.14452,AT: Vorarlberg,57,1
Lingenau,47.45,9.91667,AT: Vorarlberg,108,1
Lochau,47.5212,9.76848,AT: Vorarlberg,9,1
Lorüns,47.12511,9.84372,AT: Vorarlberg,1,1
Ludesch,47.19198,9.78975,AT: Vorarlberg,12,1
Lumnezia,46.66292,9.1099,CH: Graubünden,220,1
Lustenau,47.42565,9.67525,AT: Vorarlberg,24,1
Mäder,47.35174,9.61911,AT: Vorarlberg,2,1
Malles Venosta/Mals,46.68791,10.54655,IT: Trentino-Alto Adige,27,1
Mellau,47.35,9.88333,AT: Vorarlberg,151,1
Merano,46.66812,11.16127,IT: Trentino-Alto Adige,1,1
Mieming,47.33343,10.97353,AT: Tirol,2,1
Mils,47.29567,11.53844,AT: Tirol,2,1
Mittelberg,47.32968,10.15467,AT: Vorarlberg,7,1
Nassereith,47.3324,10.81707,AT: Tirol,4,1
Nauders,46.88746,10.54071,AT: Tirol,104,1
Nenzing,47.13856,9.67435,AT: Vorarlberg,34,1
Niederdorf,46.73813,12.17139,IT: Trentino-Alto Adige,3,1
Nüziders,47.17656,9.82218,AT: Vorarlberg,91,1
Oberegg,47.41694,9.55753,CH: Appenzell-Innerrhoden,13,1
Obersaxen Mundaun,46.72552,9.08421,CH: Graubünden,10,1
Ortisei,46.57432,11.66748,IT: Trentino-Alto Adige,1,1
Pettneu am Arlberg,47.13567,10.34754,AT: Tirol,17,1
Pfunds,46.9488,10.58164,AT: Tirol,151,1
Pians,47.13122,10.51017,AT: Tirol,12,1
Prato allo Stelvio/Prad am Stilfserjoch,46.61901,10.59136,IT: Trentino-Alto Adige,51,1
Primiero San Martino di Castrozza,46.24314,11.82764,IT: Trentino-Alto Adige,2,1
Prutz,47.08177,10.66242,AT: Tirol,28,1
Raggal,47.1951,9.89977,AT: Vorarlberg,4,1
Rankweil,47.27644,9.63032,AT: Vorarlberg,20,1
Rehetobel,47.42784,9.4816,CH: Appenzell-Ausserrhoden,1,1
Reute (AR),47.41396,9.57952,CH: Appenzell-Ausserrhoden,1,1
Reuthe,47.36667,9.88333,AT: Vorarlberg,29,1
Rhäzüns,46.78618,9.39221,CH: Graubünden,11,1
Rheinwald,46.54465,9.24054,CH: Graubünden,10,1
Ried im Zillertal,47.3,11.86667,AT: Tirol,67,1
Riefensberg,47.5,9.96435,AT: Vorarlberg,118,1
Rietz,47.27225,11.0447,AT: Tirol,3,1
Rio di Pusteria/Mühlbach,46.79783,11.66808,IT: Trentino-Alto Adige,2,1
Röns,47.21797,9.69794,AT: Vorarlberg,3,1
Roppen,47.19187,10.82041,AT: Tirol,8,1
Rossa,46.3881,9.12668,CH: Graubünden,1,1
Röthis,47.29215,9.65501,AT: Vorarlberg,9,1
Safiental,46.69624,9.30396,CH: Graubünden,2,1
Sagogn,46.79827,9.27552,CH: Graubünden,8,1
Salzburg,47.7972,13.04768,AT: Salzburg,1,1
Samnaun,46.95222,10.36647,CH: Graubünden,14,1
San Leonardo in Passiria/St. Leonhard in Passeier,46.81282,11.24577,IT: Trentino-Alto Adige,1,1
San Lorenzo di Sebato/St. Lorenzen,46.78593,11.90938,IT: Trentino-Alto Adige,6,1
San Martino in Passiria/St. Martin in Passeier,46.78392,11.22727,IT: Trentino-Alto Adige,4,1
Sankt Anton im Montafon,47.11803,9.87375,AT: Vorarlberg,1,1
Sankt Gallenkirch,46.98738,9.95511,AT: Vorarlberg,87,1
Sankt Gerold,47.23883,9.8098,AT: Vorarlberg,1,1
Satteins,47.23015,9.67541,AT: Vorarlberg,5,1
Sautens,47.20188,10.85456,AT: Tirol,6,1
Schiers,46.99233,9.74605,CH: Graubünden,1,1
Schlins,47.20591,9.69786,AT: Vorarlberg,4,1
Schluderns,46.66451,10.58496,IT: Trentino-Alto Adige,33,1
Schluein,46.78885,9.2224,CH: Graubünden,5,1
Schmitten (GR),46.70416,9.67775,CH: Graubünden,5,1
Schnepfau,47.34738,9.95152,AT: Vorarlberg,61,1
Schnifis,47.21746,9.73787,AT: Vorarlberg,37,1
Schönwies,47.20835,10.64228,AT: Tirol,30,1
Schoppernau,47.29929,10.04263,AT: Vorarlberg,113,1
Schröcken,47.25,10.08333,AT: Vorarlberg,13,1
Schruns,47.07092,9.94746,AT: Vorarlberg,14,1
Schwarzach,47.44737,9.76371,AT: Vorarlberg,4,1
Schwarzenberg,47.41667,9.85,AT: Vorarlberg,311,1
Schwende-Rüte,47.31607,9.42309,CH: Appenzell-Innerrhoden,3,1
Scuol,46.73463,10.32633,CH: Graubünden,1,1
See,47.04483,10.44739,AT: Tirol,11,1
Seewis im Prättigau,47.02225,9.65988,CH: Graubünden,1,1
Serfaus,47.02675,10.55224,AT: Tirol,42,1
Sibratsgfäll,47.41527,10.05992,AT: Vorarlberg,23,1
Silandro/Schlanders,46.62841,10.77116,IT: Trentino-Alto Adige,3,1
Silbertal,47.06947,10.05408,AT: Vorarlberg,23,1
Sils im Domleschg,46.69077,9.46489,CH: Graubünden,17,1
Silz,47.22304,10.97899,AT: Tirol,3,1
Spiss,46.98222,10.44016,AT: Tirol,36,1
St. Anton am Arlberg,47.08257,10.22347,AT: Tirol,59,1
St. Jakob in Haus,47.49966,12.55576,AT: Tirol,2,1
St. Johann im Walde,46.91048,12.62354,AT: Tirol,3,1
St. Leonhard im Pitztal,46.99704,10.84507,AT: Tirol,7,1
Stallehr,47.13733,9.85982,AT: Vorarlberg,4,1
Stanz bei Landeck,47.15813,10.55278,AT: Tirol,13,1
Stelvio,46.59801,10.54526,IT: Trentino-Alto Adige,33,1
Strengen,47.12887,10.45686,AT: Tirol,17,1
Sufers,46.55733,9.37034,CH: Graubünden,2,1
Sulz,47.28872,9.64994,AT: Vorarlberg,20,1
Sulzberg,47.52405,9.91429,AT: Vorarlberg,50,1
Sumvitg,46.70978,8.94418,CH: Graubünden,24,1
Surses,46.53576,9.61569,CH: Graubünden,28,1
Tamins,46.86442,9.3995,CH: Graubünden,4,1
Tarrenz,47.2988,10.76418,AT: Tirol,27,1
Telve,46.07131,11.47959,IT: Trentino-Alto Adige,1,1
Terlano/Terlan,46.53242,11.24537,IT: Trentino-Alto Adige,2,1
Thüringen,47.19931,9.76248,AT: Vorarlberg,17,1
Thüringerberg,47.21667,9.78306,AT: Vorarlberg,8,1
Thusis,46.68854,9.43282,CH: Graubünden,6,1
Tirol,46.69102,11.15427,IT: Trentino-Alto Adige,27,1
Tobadill,47.10793,10.52072,AT: Tirol,6,1
Tösens,46.99308,10.64198,AT: Tirol,29,1
Trento,46.07043,11.12074,IT: Trentino-Alto Adige,2,1
Trimmis,46.89526,9.59757,CH: Graubünden,1,1
Trin,46.86243,9.32992,CH: Graubünden,3,1
Trodena nel parco naturale/Truden im Naturpark,46.32231,11.35088,IT: Trentino-Alto Adige,1,1
Trogen,47.4006,9.47714,CH: Appenzell-Ausserrhoden,1,1
Trun,46.74332,8.9831,CH: Graubünden,15,1
Tschagguns,47.04565,9.87329,AT: Vorarlberg,12,1
Tschiertschen-Praden,46.79943,9.60105,CH: Graubünden,3,1
Tubre/Taufers im Münstertal,46.64561,10.46415,IT: Trentino-Alto Adige,24,1
Tujetsch,46.65046,8.7323,CH: Graubünden,7,1
Übersaxen,47.25175,9.69016,AT: Vorarlberg,3,1
Untervaz,46.92058,9.51584,CH: Graubünden,8,1
Urnäsch,47.29655,9.26745,CH: Appenzell-Ausserrhoden,1,1
Valle di Casies/Gsies,46.76833,12.17939,IT: Trentino-Alto Adige,1,1
Vals,46.61566,9.18032,CH: Graubünden,95,1
Vandans,47.08333,9.86667,AT: Vorarlberg,21,1
Vaz/Obervaz,46.71703,9.54133,CH: Graubünden,24,1
Villandro/Villanders,46.63082,11.53708,IT: Trentino-Alto Adige,1,1
Vipiteno/Sterzing,46.89253,11.43007,IT: Trentino-Alto Adige,2,1
Walchsee,47.63702,12.30986,AT: Tirol,5,1
Walzenhausen,47.44353,9.59743,CH: Appenzell-Ausserrhoden,3,1
Wenns,47.15203,10.71902,AT: Tirol,29,1
Wolfhalden,47.44969,9.5606,CH: Appenzell-Ausserrhoden,3,1
Wolfurt,47.46473,9.75131,AT: Vorarlberg,10,1
Zams,47.1955,10.54578,AT: Tirol,14,1
Zwischenwasser,47.28404,9.68986,AT: Vorarlberg,25,1
Aichstetten,47.8973,10.0565,DE: Baden-Württemberg,92,2
Allmannshofen,48.6167,10.8,DE: Bayern,2,2
Amtzell,47.7129,9.7623,DE: Baden-Württemberg,132,2
Andelsbuch,47.4037,9.90295,AT: Vorarlberg,2,2
Argenbühl,47.69789,9.94039,DE: Baden-Württemberg,222,2
Aulendorf,47.9512,9.6351,DE: Baden-Württemberg,14,2
Bad Wurzach,47.9082,9.89455,DE: Baden-Württemberg,39,2
Bodnegg,47.7167,9.68333,DE: Baden-Württemberg,32,2
Buchenberg,47.7,10.2333,DE: Bayern,149,2
Burgebrach,49.8268,10.7436,DE: Bayern,46,2
Deggenhausertal,47.78014,9.39773,DE: Baden-Württemberg,6,2
Dillingen a.d.Donau,48.5777,10.5096,DE: Bayern,1,2
Ebersbach-Musbach,47.9667,9.58333,DE: Baden-Württemberg,3,2
Eichstegen,47.9333,9.5,DE: Baden-Württemberg,13,2
Eriskirch,47.62773,9.53058,DE: Baden-Württemberg,140,2
Freiburg im Breisgau,47.99416,7.84701,DE: Baden-Württemberg,1,2
Frickingen,47.8167,9.26667,DE: Baden-Württemberg,2,2
Friedrichshafen,47.65442,9.47257,DE: Baden-Württemberg,263,2
Fronreute,47.86748,9.55798,DE: Baden-Württemberg,106,2
