Herkunft: Gem. heute,Anzahl Gem.: Kinder,Herkunft: Lat. Visualisierung,Herkunft: Lon. Visualisierung
Prad am Stilfserjoch (Prato allo Stelvio),51,46.61901,10.59136
Alberschwende,70,47.45025,9.83152
Domleschg,21,46.76908,9.46468
Altach,5,47.35438,9.65207
Altdorf (UR),1,46.88042,8.64441
Feldkirch,78,47.23306,9.6
Altstätten,32,47.37766,9.54746
Albula/Alvra,37,46.68068,9.60604
Andelsbuch,118,47.41167,9.89326
Breil/Brigels,44,46.76986,9.06036
Landeck,49,47.13988,10.56593
Appenzell,61,47.33103,9.40996
Arzl im Pitztal,28,47.20712,10.76261
Au (SG),1,47.43093,9.63448
Au (VB),130,47.32176,9.98067
Bludenz,39,47.15476,9.82255
Wartau,1,47.08333,9.48333
Bach,1,47.26667,10.4
Balzers,7,47.06665,9.50251
Bartholomäberg,27,47.09245,9.90813
Zwischenwasser,16,47.28296,9.65939
Berwang,1,47.40807,10.74735
Bezau,216,47.38478,9.90139
Bildstein,3,47.45,9.76667
Birmenstorf,1,47.46152,8.24816
Bizau,68,47.36906,9.92839
Bludesch,10,47.2,9.73306
Hittisau,200,47.45781,9.95962
Bonaduz,28,46.81103,9.39821
Calanca,1,46.31764,9.11318
Brand,8,47.10083,9.73722
Bregenz,48,47.50311,9.7471
Schwende-Rüte,2,47.31607,9.42309
Bruneck (Brunico),1,46.79942,11.93429
Buch,1,47.48569,9.82118
Buchs (SG),1,47.16743,9.47794
Mals (Malles Venosta),75,46.68791,10.54655
Burghausen,1,48.16925,12.83139
Bürs,1,47.14972,9.8
Bürserberg,4,47.14644,9.77736
Bütschwil-Ganterschwil,1,47.36022,9.07213
Cavalese,2,46.29048,11.45862
Cazis,18,46.7194,9.43271
Chur,16,46.84986,9.53287
Churwalden,5,46.78143,9.54377
Borgo Chiese,1,45.90089,10.57122
Lumnezia,191,46.66292,9.1099
Dalaas,105,47.12446,9.99104
Damüls,2,47.28034,9.89164
Diepoldsau,61,47.386,9.65558
Disentis/Mustér,12,46.70341,8.8509
Domat/Ems,45,46.83483,9.45075
Doren,5,47.49278,9.87972
Tirol (Tirolo),27,46.69102,11.15427
Dornbirn,129,47.41427,9.74195
Düns,5,47.22353,9.71663
Ebensee,2,47.80716,13.779
Egg,30,47.43154,9.89762
Eisenerz,3,47.53333,14.88333
Faggen,3,47.07876,10.67149
Falera,1,46.80131,9.23086
Felsberg,5,46.84566,9.47588
Fiss,14,47.05714,10.61747
Fließ,125,47.11667,10.61667
Flirsch,4,47.15,10.4
Fontanella,1,47.24973,9.90855
Frastanz,73,47.21735,9.62995
Fußach,3,47.47933,9.66278
Gais (Gais),1,46.83658,11.94931
St. Gallenkirch,75,47.02102,9.97335
Galtür,36,46.96667,10.18333
Gams,1,47.20429,9.44172
Gaschurn,1,46.98584,10.02702
Krumbach,74,47.48306,9.93583
Glurns (Glorenza),5,46.67105,10.55684
Göfis,59,47.23356,9.63458
Schlanders (Silandro),3,46.62841,10.77116
Goldach,2,47.47401,9.46711
Latsch (Laces),11,46.61641,10.85726
Gonten,3,47.32725,9.34705
Götzis,7,47.33306,9.63306
Grins,37,47.14034,10.51409
Graun im Vinschgau (Curon Venosta),112,46.80832,10.54265
Haiming,14,47.21667,10.86667
Lochau,8,47.53333,9.75
Hard,81,47.48306,9.68306
Herisau,1,47.38615,9.27916
Mittelberg,5,47.34813,10.17137
Höchst,3,47.45934,9.6405
Hohenems,38,47.36121,9.68694
Hüntwangen,1,47.59576,8.49116
Ilanz/Glion,25,46.7783,9.19496
Imst,39,47.24504,10.73974
Imsterberg,7,47.21001,10.70755
Innerbraz,16,47.15,9.91667
Laterns,9,47.26667,9.7
Innsbruck,5,47.26266,11.39454
Ischgl,35,47.01257,10.29179
Jenaz,1,46.92892,9.71275
Jenbach,1,47.39173,11.77245
Jerzens,4,47.1512,10.74686
Kaltbrunn,1,47.21367,9.0259
Kauns,16,47.06667,10.73333
Kaltern an der Weinstraße (Caldaro sulla strada del vino),1,46.41326,11.24616
Kappl,9,47.06667,10.38333
Karres,8,47.21667,10.78333
Karrösten,44,47.2254,10.76561
Kaunerberg,3,47.08341,10.70401
Kaunertal,3,47.03024,10.7478
Kennelbach,3,47.48306,9.76667
Klösterle,28,47.13333,10.08333
Küblis,1,46.91446,9.77929
Laax,7,46.80452,9.25787
Ladis,11,47.07459,10.64949
Lana (Lana),6,46.61209,11.15653
Langen bei Bregenz,5,47.51667,9.81667
Langenegg,33,47.46922,9.89744
Lantsch/Lenz,1,46.68413,9.5627
Lauterach,34,47.47572,9.72941
Lech,43,47.20797,10.14184
Lingenau,78,47.45033,9.92166
Lorüns,1,47.13306,9.85
Ludesch,12,47.2,9.78306
Lustenau,20,47.42642,9.65851
Mäder,2,47.35,9.61667
Masein,2,46.70357,9.42668
Rheinwald,11,46.54465,9.24054
Mellau,104,47.35034,9.88149
Meran (Merano),1,46.66817,11.15953
Mieming,2,47.3,10.98333
Mils,2,47.28333,11.53333
St. Anton im Montafon,0,47.11803,9.87375
Nenzing,31,47.18436,9.70539
Scuol,1,46.73463,10.32633
St. Anton am Arlberg,22,47.1275,10.26372
Nassereith,4,47.31667,10.83333
Nauders,78,46.88859,10.50126
Niederdorf (Villabassa),1,46.73781,12.17266
Nüziders,68,47.16667,9.8
Oberbüren,1,47.45192,9.15864
Oberegg,12,47.42531,9.55134
Oberriet (SG),10,47.32088,9.56808
Obersaxen Mundaun,19,46.75,9.1
Spiss,25,46.98222,10.44016
Vaz/Obervaz,22,46.71703,9.54133
Pettneu am Arlberg,14,47.14595,10.33655
Pfäfers,4,46.98986,9.50077
Pfunds,119,46.96667,10.55
Pians,9,47.13486,10.51237
St. Leonhard im Pitztal,3,47.06667,10.85
Prutz,21,47.08333,10.66667
Mühlbach (Rio di Pusteria),2,46.79783,11.66808
Raggal,2,47.19515,9.88214
Rankweil,16,47.27108,9.64308
Rapperswil-Jona,1,47.22557,8.82228
Rehetobel,1,47.42611,9.483
Tamins,3,46.82964,9.40648
Reute (AR),1,47.4201,9.57313
Reuthe,26,47.37113,9.89481
Rhäzüns,12,46.79891,9.39764
Rheineck,4,47.4663,9.59028
Riefensberg,63,47.50137,9.95838
Rietz,2,47.28593,11.03075
Röns,3,47.21667,9.7
Roppen,7,47.23333,10.83333
Rorschach,11,47.478,9.4903
Röthis,7,47.29332,9.65484
Rüthi (SG),4,47.2948,9.53857
Sagogn,6,46.79371,9.25701
Surses,16,46.53576,9.61569
Salzburg,1,47.79941,13.04399
Samnaun,13,46.94373,10.36058
Rossa,1,46.3881,9.12668
Sargans,2,47.04896,9.44103
Satteins,5,47.21667,9.66667
Sautens,3,47.20775,10.86452
Schaan,3,47.16498,9.50867
Schiers,2,46.96973,9.6872
Trun,19,46.74292,8.98716
Schluein,6,46.78819,9.22603
Schlins,4,47.2,9.7
Schluderns (Sluderno),33,46.66524,10.58345
Schmitten (GR),5,46.68686,9.67317
Schnepfau,47,47.35206,9.9452
Schnifis,25,47.21667,9.73306
Schönwies,22,47.19665,10.65742
Schoppernau,89,47.31205,10.01646
Schröcken,13,47.25755,10.09197
Schruns,14,47.08028,9.91917
Schwarzach,3,47.44904,9.76213
Schwarzenberg,175,47.41415,9.85154
See,8,47.08333,10.46667
Seewis im Prättigau,2,46.99023,9.63775
Serfaus,29,47.04018,10.60339
Sibratsgfäll,19,47.42667,10.03806
Silbertal,23,47.09368,9.98314
Sils im Domleschg,13,46.70041,9.45404
Silz,3,47.26667,10.93333
St. Gallen,15,47.42391,9.37477
St. Gerold,0,47.2211,9.8164
St. Johann in Tirol,1,47.5233,12.4232
St. Leonhard in Passeier (San Leonardo in Passiria),1,46.81282,11.24577
St. Lorenzen (San Lorenzo di Sebato),5,46.78514,11.90812
St. Margrethen,1,47.45253,9.63741
Vals,105,46.61647,9.18025
St. Martin in Passeier (San Martino in Passiria),4,46.78392,11.22727
St. Ulrich in Gröden (Ortisei),1,46.57603,11.67176
Stallehr,4,47.13306,9.85
Stanz bei Landeck,10,47.14758,10.5534
Steinach,1,47.50178,9.43846
Sterzing (Vipiteno),2,46.89313,11.42961
Stilfs (Stelvio),33,46.59767,10.5458
Castello-Molina di Fiemme,1,46.28241,11.43348
Strengen,16,47.12589,10.46199
Sufers,2,46.57032,9.36586
Sulz,17,47.28721,9.65183
Uster,1,47.35316,8.72156
Sulzberg,44,47.52178,9.91353
Sumvitg,23,46.73432,8.95879
Tarrenz,21,47.26667,10.76667
Taufers im Münstertal (Tubre),24,46.64403,10.46328
Telve,1,46.07011,11.48022
Terlan (Terlano),2,46.53216,11.24689
Thal,1,47.46677,9.56643
Thüringen,17,47.2,9.76667
Thüringerberg,8,47.21437,9.78499
Thusis,7,46.69724,9.43938
Tobadill,6,47.11667,10.5
Primiero San Martino di Castrozza,1,46.24314,11.82764
Tösens,22,47.0181,10.60678
Trient (Trento),2,46.06787,11.12108
Triesen,1,47.10752,9.52815
Trimmis,1,46.90075,9.5612
Trin,3,46.82834,9.36164
Trogen,1,47.40782,9.46498
Truden im Naturpark (Trodena nel parco naturale),1,46.32181,11.34982
Tschagguns,12,47.07391,9.90267
Laas (Lasa),6,46.61661,10.70016
Tscherms (Cermes),1,46.63277,11.14696
Tschiertschen-Praden,3,46.81766,9.60638
Tujetsch,7,46.67934,8.77305
Übersaxen,2,47.25284,9.6708
Gsies (Valle di Casies),1,46.76833,12.17939
Untervaz,6,46.9275,9.53422
Urnäsch,1,47.31669,9.2795
Uznach,1,47.22421,8.98263
Vaduz,1,47.14151,9.52154
Grüsch,2,46.96614,9.64391
Vandans,19,47.09569,9.86525
Safiental,2,46.69624,9.30396
Villanders (Villandro),1,46.63086,11.53808
Walzenhausen,3,47.44867,9.60495
Wenns,22,47.16667,10.73333
Wil (SG),1,47.46152,9.04552
Wolfhalden,2,47.4527,9.54815
Wolfurt,6,47.46667,9.75
Zams,9,47.15844,10.5897
Zizers,1,46.93575,9.56491
Zurich,1,47.38283,8.53071
