Zeilenbeschriftungen;Summe von t
1870;1,6
1871;4,5
1872;6
1873;
1874;3,3
1875;1,4
1876;4,9
1877;3,1
1878;2,9
1879;3,7
1880;5,4
1881;5,4
1882;5,5
1883;0,5
1884;5,1
1885;3,7
1886;1,8
1887;0,9
1888;3,2
1889;0,5
1890;3,3
1891;3,8
1892;1,1
1893;4,8
1894;5
1895;2,4
1896;6,4
1897;6,9
1898;3,5
1899;4,5
1900;0,9
1901;3,1
1902;3,9
1903;5,7
1904;4,3
1905;5,7
1906;3,4
1907;2,2
1908;3,2
1909;3,2
1910;4,5
1911;5
1912;7
1913;6,3
1914;5,8
1915;2,9
1916;5,4
1917;2,5
1918;5,3
1919;4,7
1920;6,6
1921;5,4
1922;5,4
1923;5,6
1924;3,6
1925;1,5
1926;5,1
1927;5,2
1928;4,9
1929;3,1
1930;
1931;
1932;
1933;
1934;
1935;
1936;
1937;
1938;
1939;
1940;
1941;
1942;
1943;
1944;
1945;
(Leer);
Gesamtergebnis;236,5
