titel,lat,lon,num
Alberschwende,47.45025,9.83152,94
Albula/Alvra,46.68068,9.60604,50
Altach,47.35438,9.65207,5
Altdorf (UR),46.88834,8.64091,1
Altstätten,47.37766,9.54746,36
Andelsbuch,47.41167,9.89326,178
Appenzell,47.33103,9.40996,77
Arzl im Pitztal,47.1893,10.76402,47
Au (SG),47.42627,9.63689,170
Au,47.30886,9.96673,15
Bach,47.26667,10.4,1
Balzers,47.06665,9.50251,7
Bartholomäberg,47.09245,9.90813,30
Berwang,47.40807,10.74735,1
Bezau,47.38478,9.90139,379
Bildstein,47.45,9.76667,4
Birmenstorf,47.46152,8.24816,1
Bizau,47.36906,9.92839,88
Bludenz,47.15476,9.82255,40
Bludesch,47.2,9.73306,10
Bonaduz,46.81103,9.39821,44
Borgo Chiese,45.90089,10.57122,1
Brand,47.10083,9.73722,8
Bregenz,47.50311,9.7471,51
Bregenz,47.50661,9.73792,1
Breil/Brigels,46.78515,9.03336,53
Brunico/Bruneck,46.79583,11.93638,1
Buch,47.48569,9.82118,1
Buchs (SG),47.16597,9.46275,1
Burghausen,48.16925,12.83139,1
Bürs,47.14972,9.8,1
Bürserberg,47.14644,9.77736,4
Bütschwil-Ganterschwil,47.36196,9.08001,1
Calanca,46.31764,9.11318,1
Caldaro sulla strada del vino/Kaltern an der Weinstraße,46.41321,11.24118,1
Castello-Molina di Fiemme,46.28241,11.43348,1
Cavalese,46.29048,11.45862,2
Cazis,46.7194,9.43271,20
Cermes/Tscherms,46.63462,11.14657,1
Chur,46.85212,9.52965,18
Churwalden,46.78143,9.54377,7
Curon Venosta/Graun im Vinschgau,46.80832,10.54265,120
Dalaas,47.12446,9.99104,159
Damüls,47.28034,9.89164,2
Diepoldsau,47.386,9.65558,86
Disentis/Mustér,46.73425,8.84761,12
Domat/Ems,46.81981,9.45455,52
Domleschg,46.76908,9.46468,24
Doren,47.49278,9.87972,6
Dornbirn,47.41427,9.74195,143
Düns,47.22353,9.71663,9
Ebensee,47.80716,13.779,2
Egg,47.43154,9.89762,33
Eisenerz,47.53333,14.88333,4
Faggen,47.07876,10.67149,5
Falera,46.80131,9.23086,1
Feldkirch,47.23306,9.6,84
Felsberg,46.84566,9.47588,6
Fiss,47.05714,10.61747,16
Fließ,47.11667,10.61667,168
Flirsch,47.15,10.4,4
Fontanella,47.24973,9.90855,1
Frastanz,47.21735,9.62995,98
Fußach,47.47933,9.66278,3
Gais/Gais,46.83693,11.94978,1
Galtür,46.96667,10.18333,43
Gams,47.20429,9.44172,1
Gaschurn,46.98584,10.02702,1
Glorenza/Glurns,46.67021,10.55485,5
Göfis,47.23356,9.63458,68
Goldach,47.47401,9.46711,2
Gonten,47.32725,9.34705,4
Götzis,47.33306,9.63306,7
Grins,47.14034,10.51409,39
Grüsch,46.96614,9.64391,2
Haiming,47.21667,10.86667,16
Hard,47.48306,9.68306,103
Herisau,47.38615,9.27916,1
Hittisau,47.45781,9.95962,273
Höchst,47.45934,9.6405,3
Hohenems,47.36121,9.68694,50
Hohenweiler,47.58145,9.78436,1
Hüntwangen,47.59576,8.49116,1
Ilanz/Glion,46.7783,9.19496,37
Imst,47.24504,10.73974,44
Imsterberg,47.21001,10.70755,8
Innerbraz,47.15,9.91667,20
Innsbruck,47.26266,11.39454,5
Ischgl,47.01257,10.29179,37
Jenaz,46.92892,9.71275,2
Jenbach,47.39173,11.77245,1
Jerzens,47.1512,10.74686,4
Kaltbrunn,47.21367,9.0259,1
Kappl,47.06667,10.38333,10
Karres,47.21667,10.78333,12
Karrösten,47.2254,10.76561,72
Kaunerberg,47.08341,10.70401,3
Kaunertal,47.03024,10.7478,3
Kauns,47.07822,10.69219,31
Kennelbach,47.48306,9.76667,3
Klösterle,47.13333,10.08333,28
Koblach,47.32451,9.61226,2
Krumbach,47.48306,9.93583,99
Küblis,46.91446,9.77929,2
Laax,46.80452,9.25787,7
Laces/Latsch,46.61691,10.85636,59
Ladis,47.07459,10.64949,11
Lana/Lana,46.61242,11.15587,6
Landeck,47.13009,10.56358,28
Langen bei Bregenz,47.51653,9.83551,6
Langenegg,47.46922,9.89744,39
Lantsch/Lenz,46.70697,9.57941,1
Lasa/Laas,46.61661,10.70016,6
Laterns,47.26667,9.7,9
Lauterach,47.47572,9.72941,39
Lech,47.20797,10.14184,57
Lingenau,47.45033,9.92166,108
Lochau,47.53333,9.75,9
Lorüns,47.13306,9.85,1
Ludesch,47.2,9.78306,12
Lumnezia,46.66292,9.1099,263
Lustenau,47.42642,9.65851,24
Mäder,47.35,9.61667,2
