Herkunft: Gem. heute,Anzahl Gem.: Kinder,Anzahl Gem.: Wanderungen,Herkunft: Gem. heute (Lat.),Herkunft: Gem. heute (Lon.)
Alberschwende,70,94,47.45,9.81667
Albula/Alvra,37,50,46.68068,9.60604
Altach,5,5,47.35707,9.64752
Altdorf (UR),1,1,46.88834,8.64091
Altstätten,32,36,47.37801,9.54875
Andelsbuch,118,178,47.4037,9.90295
Appenzell,61,77,47.33663,9.41263
Arzl im Pitztal,28,47,47.1893,10.76402
Au (SG),1,1,47.42627,9.63689
Au (VB),130,186,47.30886,9.96673
Bach,1,1,47.26961,10.40348
Balzers,7,7,47.0677,9.50408
Bartholomäberg,27,30,47.10662,9.91726
Berwang,1,1,47.40786,10.74735
Bezau,216,379,47.36271,10.03447
Bildstein,3,4,47.4605,9.79324
Birmenstorf,1,1,47.45477,8.25648
Bizau,68,88,47.36603,9.96708
Bludenz,39,40,47.15457,9.86819
Bludesch,10,10,47.19415,9.73596
Bonaduz,28,44,46.80208,9.35632
Borgo Chiese,1,1,45.90089,10.57122
Brand,8,8,47.10987,9.74334
Bregenz,48,52,47.50661,9.73792
Breil/Brigels,44,53,46.78515,9.03336
Bruneck (Brunico),1,1,46.79583,11.93638
Buch,1,1,47.48306,9.81667
Buchs (SG),1,1,47.16597,9.46275
Burghausen,1,1,48.158,12.81373
Bürs,1,1,47.1242,9.79679
Bürserberg,4,4,47.14972,9.76667
Bütschwil-Ganterschwil,1,1,47.36196,9.08001
Calanca,1,1,46.31764,9.11318
Castello-Molina di Fiemme,1,1,46.28241,11.43348
Cavalese,2,2,46.29151,11.45938
Cazis,18,21,46.73716,9.42665
Chur,16,18,46.85212,9.52965
Churwalden,5,7,46.78924,9.53889
Dalaas,105,159,47.15669,10.03634
Damüls,2,2,47.28333,9.88333
Diepoldsau,61,86,47.384,9.64691
Disentis/Mustér,12,12,46.73425,8.84761
Domat/Ems,45,52,46.81981,9.45455
Domleschg,21,24,46.76908,9.46468
Doren,5,6,47.49431,9.87735
Dornbirn,129,143,47.37512,9.77234
Düns,5,9,47.2252,9.71275
Ebensee,2,2,47.80693,13.77849
Egg,30,33,47.40791,9.9885
Eisenerz,3,4,47.54607,14.88837
Faggen,3,5,47.09558,10.67465
Falera,1,1,46.82735,9.2085
Feldkirch,78,84,47.23705,9.59707
Felsberg,5,6,46.85654,9.4623
Fiss,14,16,47.07549,10.58841
Fließ,125,168,47.1227,10.63877
Flirsch,4,4,47.14109,10.41488
Fontanella,1,1,47.25,9.9
Frastanz,73,98,47.21667,9.63306
Fußach,3,3,47.48882,9.65103
Gais (Gais),1,1,46.83693,11.94978
Galtür,36,43,46.92228,10.17996
Gams,1,1,47.21155,9.43022
Gaschurn,1,1,46.9459,10.07076
Glurns (Glorenza),5,5,46.67021,10.55485
Göfis,59,68,47.23982,9.63332
Goldach,2,2,47.47364,9.46787
Gonten,3,4,47.31919,9.34854
Götzis,7,7,47.33693,9.66319
Graun im Vinschgau (Curon Venosta),112,121,46.80832,10.54265
Grins,37,39,47.15375,10.50472
Grüsch,2,2,46.96614,9.64391
Gsies (Valle di Casies),1,1,46.76833,12.17939
Haiming,14,16,47.24319,10.88699
Hard,81,103,47.4941,9.68061
Herisau,1,1,47.38288,9.27409
Hittisau,200,273,47.46169,10.01072
Höchst,3,3,47.48212,9.62244
Hohenems,38,50,47.36714,9.70692
Hüntwangen,1,1,47.5919,8.49845
Ilanz/Glion,25,37,46.7783,9.19496
Imst,39,44,47.26842,10.66977
Imsterberg,7,8,47.19539,10.70029
Innerbraz,16,20,47.14409,9.94122
Innsbruck,5,5,47.28873,11.38158
Ischgl,35,37,46.99149,10.2787
Jenaz,1,2,46.90652,9.70195
Jenbach,1,1,47.39295,11.7746
Jerzens,4,4,47.13578,10.7689
Kaltbrunn,1,1,47.21002,9.04905
Kaltern an der Weinstraße (Caldaro sulla strada del vino),1,1,46.41321,11.24118
Kappl,9,10,47.06422,10.37487
Karres,8,12,47.22596,10.79232
Karrösten,44,72,47.23763,10.77515
